length_label,target_prompt_len,layer_id,num_requests,mean_unique_kv_slots_used_decode_union,mean_kv_union_used_to_total_prompt,std_kv_union_used_to_total_prompt,p50_kv_union_used_to_total_prompt,p90_kv_union_used_to_total_prompt,mean_per_decode_step_used_to_total_prompt
32k,32768,4,16,18409.62500000,0.56181717,0.04425125,0.57200622,0.58554077,0.05565530
32k,32768,5,16,7167.25000000,0.21872711,0.01095231,0.21868897,0.22885132,0.05110163
32k,32768,6,16,18423.56250000,0.56224251,0.01178206,0.56340027,0.56890869,0.05012022
32k,32768,7,16,15723.31250000,0.47983742,0.01085031,0.47789002,0.48635864,0.04951346
32k,32768,8,16,14687.25000000,0.44821930,0.00997386,0.44827270,0.45712280,0.04876946
32k,32768,9,16,13344.12500000,0.40723038,0.03805027,0.41093444,0.42889404,0.05121625
32k,32768,10,16,15032.93750000,0.45876885,0.01003834,0.45989990,0.46902466,0.05156072
32k,32768,11,16,21839.56250000,0.66649056,0.03546007,0.67337037,0.69955444,0.05204270
32k,32768,12,16,20094.87500000,0.61324692,0.01059666,0.61224365,0.62231445,0.05139035
32k,32768,13,16,13355.68750000,0.40758324,0.01578799,0.40771484,0.42227173,0.05057858
32k,32768,14,16,10932.06250000,0.33362007,0.01040308,0.33351135,0.34292603,0.05241155
32k,32768,15,16,16158.93750000,0.49313164,0.03977471,0.49806213,0.51889038,0.05280133
32k,32768,16,16,16575.75000000,0.50585175,0.03682029,0.51133728,0.53121948,0.05124658
32k,32768,17,16,29986.50000000,0.91511536,0.04189007,0.92703247,0.93994141,0.05394893
32k,32768,18,16,12383.87500000,0.37792587,0.02249471,0.38050842,0.39392090,0.05061155
32k,32768,19,16,17848.81250000,0.54470253,0.04310717,0.55867004,0.57534790,0.05181945
32k,32768,20,16,21099.56250000,0.64390755,0.04684700,0.65486145,0.68273926,0.05291777
32k,32768,21,16,18533.12500000,0.56558609,0.04375972,0.57728577,0.59252930,0.05325637
32k,32768,22,16,11534.18750000,0.35199547,0.01282071,0.35342408,0.36254883,0.05153081
32k,32768,23,16,14064.12500000,0.42920303,0.02537280,0.43104553,0.45236206,0.05166571
32k,32768,24,16,20177.50000000,0.61576843,0.04365797,0.61637878,0.64974976,0.05390088
32k,32768,25,16,13065.81250000,0.39873696,0.03341886,0.40255737,0.41558838,0.05199883
32k,32768,26,16,20619.31250000,0.62925148,0.04487715,0.63774109,0.64843750,0.05363792
32k,32768,27,16,19937.06250000,0.60843086,0.03857314,0.60649109,0.63473511,0.05454907
32k,32768,28,16,19907.81250000,0.60753822,0.05131526,0.60984802,0.64505005,0.05316415
32k,32768,29,16,23808.37500000,0.72657394,0.04525756,0.73291015,0.75500488,0.05359713
32k,32768,30,16,18623.68750000,0.56834984,0.04107840,0.56460572,0.60882568,0.05304158
32k,32768,31,16,18813.68750000,0.57414818,0.04231588,0.57176209,0.60662842,0.05342186
32k,32768,32,16,16715.18750000,0.51010704,0.04396524,0.50434875,0.56027222,0.05306792
32k,32768,33,16,21249.12500000,0.64847183,0.05126955,0.65832519,0.68878174,0.05338501
32k,32768,34,16,12596.00000000,0.38439941,0.03584888,0.38644409,0.41973877,0.05265704
32k,32768,35,16,17683.68750000,0.53966331,0.05166437,0.54113769,0.57418823,0.05309682
32k,32768,36,16,16789.75000000,0.51238251,0.03768049,0.51651001,0.53771973,0.05244012
32k,32768,37,16,13825.06250000,0.42190743,0.03182226,0.42338562,0.44598389,0.05185964
32k,32768,38,16,21952.75000000,0.66994476,0.06341365,0.68222046,0.71575928,0.05305600
32k,32768,39,16,23381.25000000,0.71353912,0.06208377,0.72825622,0.76422119,0.05266224
32k,32768,40,16,21119.62500000,0.64451980,0.03704750,0.64108276,0.68582153,0.05341797
32k,32768,41,16,17139.25000000,0.52304840,0.04885333,0.52896118,0.57254028,0.05255099
32k,32768,42,16,15787.37500000,0.48179245,0.03400646,0.48464966,0.51419067,0.05221372
